Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow,Label,Score
2008-12-12,Albury,15.9,21.7,2.2,,,NNE,31,NE,ENE,15.0,13,89,91,1010.5,1004.2,8.0,8.0,15.9,17.0,Yes,15.6,Yes,Yes,0.9577
2008-12-13,Albury,15.9,18.6,15.6,,,W,61,NNW,NNW,28.0,28,76,93,994.3,993.0,8.0,8.0,17.4,15.8,Yes,3.6,Yes,Yes,0.9905
2008-12-14,Albury,12.6,21.0,3.6,,,SW,44,W,SSW,24.0,20,65,43,1001.2,1001.8,,7.0,15.8,19.8,Yes,0.0,No,No,0.7906
2008-12-16,Albury,9.8,27.7,,,,WNW,50,,WNW,,22,50,28,1013.4,1010.3,0.0,,17.3,26.2,,0.0,No,No,0.7234
2008-12-17,Albury,14.1,20.9,0.0,,,ENE,22,SSW,E,11.0,9,69,82,1012.2,1010.4,8.0,1.0,17.2,18.1,No,16.8,Yes,Yes,0.7372
2008-12-18,Albury,13.5,22.9,16.8,,,W,63,N,WNW,6.0,20,80,65,1005.8,1002.2,8.0,1.0,18.0,21.5,Yes,10.6,Yes,Yes,0.7442
2008-12-19,Albury,11.2,22.5,10.6,,,SSE,43,WSW,SW,24.0,17,47,32,1009.4,1009.7,,2.0,15.5,21.0,Yes,0.0,No,No,0.9768
2008-12-20,Albury,9.8,25.6,0.0,,,SSE,26,SE,NNW,17.0,6,45,26,1019.2,1017.1,,,15.8,23.2,No,0.0,No,No,0.9878
2008-12-21,Albury,11.5,29.3,0.0,,,S,24,SE,SE,9.0,9,56,28,1019.3,1014.8,,,19.1,27.3,No,0.0,No,No,0.9835
2008-12-22,Albury,17.1,33.0,0.0,,,NE,43,NE,N,17.0,22,38,28,1013.6,1008.1,,1.0,24.5,31.6,No,0.0,No,No,0.8336
2008-12-23,Albury,20.5,31.8,0.0,,,WNW,41,W,W,19.0,20,54,24,1007.8,1005.7,,,23.8,30.8,No,0.0,No,No,0.9715
2008-12-24,Albury,15.3,30.9,0.0,,,N,33,ESE,NW,6.0,13,55,23,1011.0,1008.2,5.0,,20.9,29.0,No,0.0,No,No,0.9707
2008-12-25,Albury,12.6,32.4,0.0,,,W,43,E,W,4.0,19,49,17,1012.9,1010.1,,,21.5,31.2,No,0.0,No,No,0.9821
2008-12-26,Albury,16.2,33.9,0.0,,,WSW,35,SE,WSW,9.0,13,45,19,1010.9,1007.6,,1.0,23.2,33.0,No,0.0,No,No,0.9793
2008-12-27,Albury,16.9,33.0,0.0,,,WSW,57,,W,0.0,26,41,28,1006.8,1003.6,,1.0,26.6,31.2,No,0.0,No,No,0.7516
2008-12-28,Albury,20.1,32.7,0.0,,,WNW,48,N,WNW,13.0,30,56,15,1005.2,1001.7,,,24.6,32.1,No,0.0,No,No,0.9703
2008-12-29,Albury,19.7,27.2,0.0,,,WNW,46,NW,WSW,19.0,30,49,22,1004.8,1004.2,,,21.6,26.1,No,1.2,Yes,No,0.9774
2008-12-30,Albury,12.5,24.2,1.2,,,WNW,50,WSW,SW,11.0,22,78,70,1005.6,1003.4,8.0,8.0,12.5,18.2,Yes,0.8,No,No,0.521
2008-12-31,Albury,12.0,24.4,0.8,,,W,39,WNW,WNW,17.0,17,48,28,1006.1,1005.1,1.0,,16.9,22.7,No,0.0,No,No,0.9543
2009-01-01,Albury,11.3,26.5,0.0,,,WNW,56,W,WNW,19.0,31,46,26,1004.5,1003.2,,,19.7,25.7,No,0.0,No,No,0.9363
2009-01-02,Albury,9.6,23.9,0.0,,,W,41,WSW,SSW,19.0,11,44,22,1014.4,1013.1,,,14.9,22.1,No,0.0,No,No,0.9861
2009-01-03,Albury,10.5,28.8,0.0,,,SSE,26,SSE,E,11.0,7,43,22,1018.7,1014.8,,,17.1,26.5,No,0.0,No,No,0.9926
2009-01-04,Albury,12.3,34.6,0.0,,,WNW,37,SSE,NW,6.0,17,41,12,1015.1,1010.3,,,20.7,33.9,No,0.0,No,No,0.9918
2009-01-05,Albury,12.9,35.8,0.0,,,WNW,41,ENE,NW,6.0,26,41,9,1012.6,1009.2,,,22.4,34.4,No,0.0,No,No,0.9932
2009-01-06,Albury,13.7,37.9,0.0,,,W,52,SE,WNW,4.0,26,33,8,1010.9,1006.7,,,23.1,36.8,No,0.0,No,No,0.9733
2009-01-07,Albury,16.1,38.9,0.0,,,W,57,E,W,6.0,30,34,12,1007.0,1002.7,,,25.2,38.4,No,0.0,No,No,0.9559
2009-01-08,Albury,14.0,28.3,0.0,,,W,48,W,WSW,17.0,24,43,15,1011.9,1010.9,,,17.9,27.6,No,0.0,No,No,0.9883
2009-01-09,Albury,12.5,28.4,0.0,,,NE,37,SSE,S,20.0,9,38,16,1017.8,1013.7,,,17.2,26.6,No,0.0,No,No,0.9924
2009-01-22,Albury,24.4,34.0,0.6,,,NW,98,N,NNW,26.0,48,60,39,1005.3,997.8,4.0,1.0,26.1,33.1,No,6.4,Yes,Yes,0.8121
2009-02-12,Albury,16.1,21.6,0.0,,,SE,46,SSE,NE,11.0,15,58,69,1017.0,1017.3,2.0,8.0,17.0,17.3,No,3.0,Yes,No,0.6731
2009-03-04,Albury,13.8,22.1,0.2,,,WNW,57,W,WNW,26.0,33,57,26,1014.5,1013.1,,,15.6,21.9,No,0.0,No,No,0.9517
2009-03-12,Albury,20.9,25.7,0.0,,,W,37,ENE,S,11.0,9,52,90,1019.5,1018.9,,8.0,22.2,18.8,No,5.8,Yes,Yes,0.9436
2009-03-13,Albury,17.1,25.8,5.8,,,ENE,31,,S,0.0,13,82,68,1017.4,1014.7,8.0,,19.0,23.8,Yes,3.0,Yes,No,0.6278
2009-03-14,Albury,16.4,27.0,3.0,,,SW,69,E,N,9.0,22,82,74,1012.7,1008.0,,4.0,19.9,19.7,Yes,11.6,Yes,Yes,0.8614
2009-03-15,Albury,10.0,19.7,11.6,,,WNW,39,W,NW,11.0,17,62,41,1013.4,1012.0,,8.0,12.7,18.3,Yes,0.0,No,No,0.9528
2009-03-16,Albury,8.8,21.9,0.0,,,W,39,S,WNW,2.0,20,78,34,1013.3,1011.6,,6.0,12.2,20.5,No,0.0,No,No,0.9453
2009-03-25,Albury,15.4,22.3,0.4,,,ENE,30,SSE,SSE,11.0,9,69,78,1017.4,1019.2,8.0,8.0,18.3,19.6,No,1.8,Yes,No,0.6705
2009-03-26,Albury,13.3,29.8,1.8,,,WSW,33,,WNW,0.0,20,87,26,1019.1,1017.2,,6.0,16.2,29.2,Yes,0.0,No,No,0.9637
2009-03-27,Albury,10.1,27.6,0.0,,,WNW,43,,W,0.0,11,63,30,1023.0,1020.7,,,16.5,26.8,No,0.0,No,No,0.9713
2009-03-28,Albury,9.1,28.9,0.0,,,NNW,24,N,N,2.0,17,60,26,1023.8,1020.6,,,14.0,27.7,No,0.0,No,No,0.9894
2009-03-29,Albury,10.4,31.2,0.0,,,S,22,,SE,0.0,6,60,18,1022.4,1019.1,,,16.0,29.9,No,0.0,No,No,0.995
2009-03-30,Albury,13.4,30.4,0.0,,,ENE,22,,SE,0.0,9,57,16,1023.0,1019.5,,,17.2,29.2,No,0.0,No,No,0.9959
2009-03-31,Albury,12.3,29.9,0.0,,,WSW,26,S,SSW,2.0,13,61,25,1023.2,1019.5,,,17.1,28.6,No,0.0,No,No,0.9922
2009-04-01,Albury,12.2,30.6,0.0,,,SE,22,,ENE,0.0,6,59,22,1022.6,1019.4,,,16.6,29.5,No,0.0,No,No,0.9893
2009-04-02,Albury,14.3,32.1,0.0,,,NE,28,,ENE,0.0,11,59,30,1022.6,1018.4,,,18.4,30.9,No,8.6,Yes,No,0.9819
2009-04-03,Albury,18.4,28.1,8.6,,,W,98,E,NNE,7.0,17,92,49,1018.8,1012.9,8.0,6.0,19.0,27.4,Yes,12.6,Yes,Yes,0.9502
